temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,status,pontos_anterior_individual,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2026,1,albon,15,81051.0,80941.0,,12,albert_park,williams,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,alonso,17,81969.0,,,18,albert_park,aston_martin,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,antonelli,2,80120.0,79435.0,78811.0,2,albert_park,mercedes,,,,,,,,293.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,arvid_lindblad,9,80409.0,79971.0,81247.0,8,albert_park,rb,,,,,,,,2729.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,bearman,12,81247.0,80311.0,,7,albert_park,haas,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,bortoleto,10,80495.0,80221.0,,9,albert_park,audi,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,bottas,19,83244.0,,,19,albert_park,cadillac,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,colapinto,16,81200.0,81270.0,,14,albert_park,alpine,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,gasly,14,81138.0,80501.0,,10,albert_park,alpine,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,hadjar,3,80023.0,79653.0,79303.0,20,albert_park,red_bull,,,,,,,,785.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,hamilton,7,79811.0,79921.0,79478.0,4,albert_park,ferrari,,,,,,,,960.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,hulkenberg,11,81024.0,80303.0,,22,albert_park,audi,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,lawson,8,80491.0,80144.0,79994.0,13,albert_park,rb,,,,,,,,1476.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,leclerc,4,80226.0,79357.0,79327.0,3,albert_park,ferrari,,,,,,,,809.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,max_verstappen,,,,,6,albert_park,red_bull,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,norris,6,80010.0,79882.0,79475.0,5,albert_park,mclaren,,,,,,,,957.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,ocon,13,80759.0,80491.0,,11,albert_park,haas,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,perez,18,82605.0,,,16,albert_park,cadillac,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,piastri,5,79664.0,79525.0,79380.0,21,albert_park,mclaren,,,,,,,,862.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,russell,1,79507.0,78934.0,78518.0,1,albert_park,mercedes,,,,,,,,0.0,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,sainz,,,,,15,albert_park,williams,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,1,stroll,,,,,17,albert_park,aston_martin,,,,,,,,,,,,,,,,,24.23,36.13,53.97,0,0.0
2026,2,albon,18,94772.0,,,22,shanghai,williams,15,12,Lapped,0,9,0,0,,0,12.0,0,12.0,12.0,0,3.0,0.0,15.57,22.62,55.0,0,0.0
2026,2,alonso,19,95203.0,,,17,shanghai,aston_martin,17,18,Retired,0,11,0,0,,0,20.0,0,18.0,18.0,0,-1.0,0.0,15.57,22.62,55.0,0,0.0
2026,2,antonelli,1,93305.0,92443.0,92064.0,1,shanghai,mercedes,2,2,Finished,18,1,43,1,0.0,18,2.0,0,2.0,2.0,0,0.0,0.0,15.57,22.62,55.0,0,0.0
2026,2,arvid_lindblad,15,93906.0,93784.0,,12,shanghai,rb,9,8,Lapped,4,6,4,0,,4,8.0,0,8.0,8.0,0,1.0,0.0,15.57,22.62,55.0,0,0.0
2026,2,bearman,10,93687.0,93197.0,93292.0,5,shanghai,haas,12,7,Lapped,6,5,6,0,1228.0,6,7.0,0,7.0,7.0,0,5.0,0.0,15.57,22.62,55.0,0,0.0
2026,2,bortoleto,16,93549.0,93965.0,,21,shanghai,audi,10,9,Lapped,2,7,2,0,,2,9.0,0,9.0,9.0,0,1.0,0.0,15.57,22.62,55.0,0,0.0
2026,2,bottas,20,95436.0,,,13,shanghai,cadillac,19,19,Retired,0,10,0,0,,0,21.0,0,19.0,19.0,0,0.0,0.0,15.57,22.62,55.0,0,0.0
